CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50095112,GYU-KAKU RESTAURANT,Manhattan,620,AMSTERDAM AVENUE,10024
41395425,CITI FIELD STAND 425,Queens,000,126TH  & ROOSEVELT AVENUE,
41117795,HAVANA CENTRAL,Manhattan,151,WEST   46 STREET,10036
41276651,EL TEXANO RESTAURANT,Bronx,2031,WESTCHESTER AVENUE,10462
50098584,NO CHEWING ALLOWED,Manhattan,42,WEST   42 STREET,10036
50040676,DOS TOROS,Manhattan,101,MAIDEN LANE,10038
50064331,DYNAMITE SEAFOOD,Queens,37-20,PRINCE STREET,11354
40366711,LI GRECI'S STAATEN RESTAURANT,Staten Island,697,FOREST AVENUE,10310
50011722,OLD TBILISI,Manhattan,174,BLEECKER STREET,10012
41656677,TONY'S DI NAPOLI,Manhattan,1081,3 AVENUE,10065
41641062,YO-BURGER,Bronx,3726,RIVERDALE AVENUE,10463
50014249,CHADBOURNE & PARKE EMPLOYEE CAFETERIA,Manhattan,1301,6 AVENUE,10019
50007907,CHECKERS,Brooklyn,1801,CHURCH AVENUE,11226
50075273,RED PANDA RESTAURANT,Queens,67-21,WOODSIDE AVENUE,11377
50087475,GOURMET EMPANADA,Manhattan,38,AVENUE B,10009
50092644,JUST NOODLES THAI EXPRESS,Queens,8202,45TH AVE,11373
50106451,UNCLE RUSHFORD,Manhattan,104,WEST   14 STREET,10011
41129706,RICHIE'S PLACE,Queens,169-02,HILLSIDE AVENUE,11432
50071612,CHINA GARDEN TAKEOUT,Brooklyn,2014,BATH AVENUE,11214
41435782,LACONIA PIZZERIA,Bronx,3985A,LACONIA AVENUE,10466
50082806,BOARD AND BRUSH STATEN ISLAND,Staten Island,2965,VETERANS ROAD WEST,10309
41624602,LE PIF,Manhattan,2058,BROADWAY,10023
50101268,VANILA N BEAN,Queens,3706,DITMARS BLVD,11105
50050373,MARGARITA ISLAND,Brooklyn,1105,BOWERY STREET,11224
41059709,"DUNKIN', BASKIN ROBBINS",Bronx,46,EAST  167 STREET,10452
41629685,JAMBA JUICE,Queens,,JFK INTERNATIONAL AIRPORT,11430
50106774,LONGO BROS,Manhattan,474,9 AVENUE,10018
50080605,BOSTON MARKET,Queens,16502,JAMAICA AVE,11432
41474966,COMPLETE BODY & SPA,Manhattan,22,WEST   19 STREET,10011
41256599,HARRY'S ITALIAN,Manhattan,2,GOLD STREET,10038
41386156,DOUBLE DRAGON RESTAURANT,Brooklyn,7714,13 AVENUE,11228
50102890,Star World,Brooklyn,201,46 STREET,11220
50002504,CASELLA BAGEL COFFEE SHOP,Brooklyn,66,WILLOUGHBY STREET,11201
50013049,SOHO KTV & BAR,Queens,3202,LINDEN PL,11354
50088808,RONIN STONES,Manhattan,69A,CLINTON STREET,10002
50038951,GIOVANNIS TRATTORIA,Staten Island,3800,RICHMOND AVENUE,10312
41618756,STARBUCKS,Manhattan,525,WEST  120 STREET,10027
50079664,AJISAI,Manhattan,795,LEXINGTON AVENUE,10065
50016928,MCDONALD'S,Queens,20411,HILLSIDE AVE,11423
40751057,THE WILD GOOSE,Queens,54-22,ROOSEVELT AVENUE,11377
41519681,FIGURA SALUDABLE,Queens,9208,173 STREET,11433
40865775,FRATELLI PIZZA,Queens,40-36,162 STREET,11358
50043350,HAPPY FORTUNE,Staten Island,1022,ROSSVILLE AVENUE,10309
50005198,M & W BAKERY,Brooklyn,4705,8 AVENUE,11220
40935628,THE MERMAID INN,Manhattan,96,2 AVENUE,10003
50097918,NEW YORK PIZZA,Bronx,921,EAST  174 STREET,10460
50080214,BONAFIDE CAFE & DELI,Brooklyn,118,KANE STREET,11231
40362432,HO MEI RESTAURANT,Queens,103-05,37 AVENUE,11368
50002479,SWERVE FITNESS,Manhattan,30,WEST   18 STREET,10011
50104637,JEWELS BAGEL,Queens,69-48,MAIN STREET,11367
50007745,THE SMILE OF THE BEYOND,Queens,86-14,PARSONS BOULEVARD,11432
50045061,GOOD FRIEND RESTAURANT,Brooklyn,176,MARCUS GARVEY BOULEVARD,11221
41006035,OVERLOOK,Manhattan,225,EAST   44 STREET,10017
41238372,NEW MALAYSIA RESTAURANT,Queens,13517,40 ROAD,11354
41521360,PARIS BAGUETTE,Manhattan,6,WEST   32 STREET,10001
50071346,THE ASTORIAN,Queens,28-50,31 STREET,11102
40690158,FRESCO ON THE GO,Manhattan,40,EAST   52 STREET,10022
50101340,CONNIE'S PIZZERIA,Brooklyn,3845,NOSTRAND AVENUE,11235
50094090,SUN N GRILL,Bronx,250,EAST  204 STREET,10458
41483790,WORLD FAMOUS NEW ORLEANS CHICKEN,Bronx,854,SOUNDVIEW AVENUE,10473
50079803,U CREW,Queens,10322,ROOSEVELT AVE,11368
50044799,BEST WINGERS,Manhattan,711,2 AVENUE,10016
50078573,ALEGRITO,Brooklyn,2216,65 STREET,11204
50008409,CANTEEN M - CITIZEN M,Manhattan,218,WEST   50 STREET,10019
50095755,Sixty Sixth Congress,Brooklyn,66,GREENPOINT AVENUE,11222
50034360,KAZZA WINE BAR,Manhattan,708,WEST  177 STREET,10033
41439359,KESTANE KEBAB,Brooklyn,110,NASSAU AVENUE,11222
41642251,LITTLE CAESARS,Bronx,15,EAST  167 STREET,10452
50092883,NATURAL BLEND,Brooklyn,2251,CHURCH AVENUE,11226
41540232,HARVEST CAFE,Staten Island,694,NEW DORP LANE,10306
50001189,CENT'ANNI,Brooklyn,742,FRANKLIN AVENUE,11238
50092763,Z BEST PIZZA,Manhattan,623,11 AVENUE,10036
50045109,DUNKIN /JEAN GEORGES SIMPLY CHICKEN,Manhattan,4,PENN PLZ,10121
50059789,PASTELES CAPY,Queens,102-23,ROOSEVELT AVENUE,11368
50087598,MADROCK,Manhattan,688,10 AVENUE,10019
50093792,DOMINOS,Queens,2553,STEINWAY ST,11103
50099930,NOSTRAND STATION BAR & LOUNGE,Brooklyn,822,NOSTRAND AVENUE,11216
50077959,PERCY'S PIZZA,Manhattan,190,BLEECKER STREET,10012
50071553,NEW LIFE JUICE BAR & LOUNGE,Manhattan,67,SAINT NICHOLAS AVENUE,10026
50018636,OUR WICKED LADY,Brooklyn,153,MORGAN AVENUE,11237
50001015,TRA DI NOI,Bronx,622,EAST  187 STREET,10458
50067814,Carnaval smoothie & juice bar,Manhattan,2360,8 AVENUE,10027
50004213,HO WAH RESTAURANT,Brooklyn,551,GATES AVENUE,11216
50049617,BAKERY MOCANA,Manhattan,1540,SAINT NICHOLAS AVENUE,10040
41628667,ACUARIO CAFE,Manhattan,306,WEST   37 STREET,10018
50086180,OATH PIZZA,Manhattan,1140,3 AVENUE,10065
41378319,L'ARTUSI,Manhattan,228,WEST   10 STREET,10014
50090355,BIRCH COFFEE,Manhattan,1330,5 AVENUE,10026
50055557,GEORGE'S SOUVLAKI OF ASTORIA AND MORE,Brooklyn,7006,FORT HAMILTON PARKWAY,11228
50067105,ATAMI,Manhattan,1167,2 AVENUE,10065
50054639,BURGER KING/CINNABON,Manhattan,1313,BROADWAY,10001
50089700,LUDLOW HOUSE,Manhattan,139,LUDLOW STREET,10002
50038241,KINGS COUNTY IMPERIAL,Brooklyn,20,SKILLMAN AVENUE,11211
40395992,MCDONALD'S,Bronx,2516,WHITE PLAINS ROAD,10467
50017824,EL KALLEJON BOTANAS,Manhattan,209,EAST  117 STREET,10035
50044817,619 BAR & RESTAURANT EL SALVADORENO,Bronx,395,EAST  151 STREET,10455
41637575,VERA CRUZ,Brooklyn,195,BEDFORD AVENUE,11211
50055248,BELLE,Manhattan,2363,A C POWELL BOULEVARD,10030
50100961,FARMER'S FRIDGE - COMEDY CENTRAL,Manhattan,345,HUDSON STREET,10014
50105209,,Bronx,80,WEST KINGSBRIDGE ROAD,10468
41617279,DUNKIN',Bronx,2973,EAST TREMONT AVENUE,10461
41583783,EXCELENTE GIL CAFETERIA & RESTAURANT,Bronx,1206,STRATFORD AVENUE,10472
50058045,POST,Manhattan,42,AVENUE B,10009
50018049,COMBITE CREOLE,Brooklyn,1728,NOSTRAND AVENUE,11226
40640493,BURGER KING,Brooklyn,624,SOUTH CONDUIT AVENUE,11208
50048138,INTERCONTINENTAL NEW YORK EMPLOYEE CAFE,Manhattan,111,EAST   48 STREET,10017
50013274,"HUDSON NEWS, DUNKIN', BASKIN ROBBINS",Brooklyn,42,BROADWAY,11249
50082664,SHAXIAN SNACKS,Brooklyn,818,60 STREET,11220
40362274,ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012
50007331,PALACE RESTAURANT,Manhattan,122,EAST   57 STREET,10022
40483697,LUNT FONTANNE THEATER,Manhattan,205,WEST   46 STREET,10036
50097592,CAPUCINE,Queens,4551,39TH PL,11104
